,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,122.0,alfa-romero,2,convertible,rwd,front,88.6,0.811,0.890,0.816,2548,dohc,4,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500,8.936170212765957,11.48936170212766,medium,0,1,1,0
1,1,122.0,alfa-romero,2,hatchback,rwd,front,94.5,0.823,0.910,0.876,2823,ohcv,6,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500,8.085106382978724,11.063829787234042,medium,0,1,1,0
2,2,164.0,audi,4,sedan,fwd,front,99.8,0.849,0.919,0.908,2337,ohc,4,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950,10.212765957446807,12.76595744680851,medium,0,1,1,0
3,2,164.0,audi,4,sedan,4wd,front,99.4,0.849,0.922,0.908,2824,ohc,5,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450,7.659574468085106,9.361702127659575,medium,0,1,1,0
4,2,122.0,audi,2,sedan,fwd,front,99.8,0.852,0.921,0.888,2507,ohc,5,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250,8.085106382978724,10.638297872340425,medium,0,1,1,0
5,1,158.0,audi,4,sedan,fwd,front,105.8,0.926,0.992,0.931,2844,ohc,5,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710,8.085106382978724,10.638297872340425,medium,0,1,1,0
6,1,122.0,audi,4,wagon,fwd,front,105.8,0.926,0.992,0.931,2954,ohc,5,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920,8.085106382978724,10.638297872340425,medium,0,1,1,0
7,1,158.0,audi,4,sedan,fwd,front,105.8,0.926,0.992,0.935,3086,ohc,5,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875,7.234042553191489,8.51063829787234,medium,0,1,0,1
8,2,192.0,bmw,2,sedan,rwd,front,101.2,0.850,0.900,0.908,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430,9.787234042553191,12.340425531914892,medium,0,1,1,0
9,0,192.0,bmw,4,sedan,rwd,front,101.2,0.850,0.900,0.908,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925,9.787234042553191,12.340425531914892,medium,0,1,1,0
10,0,188.0,bmw,2,sedan,rwd,front,101.2,0.850,0.900,0.908,2710,ohc,6,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970,8.936170212765957,11.914893617021276,medium,0,1,1,0
11,0,188.0,bmw,4,sedan,rwd,front,101.2,0.850,0.900,0.908,2765,ohc,6,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105,8.936170212765957,11.914893617021276,medium,0,1,1,0
12,1,122.0,bmw,4,sedan,rwd,front,103.5,0.908,0.929,0.931,3055,ohc,6,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565,8.51063829787234,10.638297872340425,medium,0,1,1,0
13,0,122.0,bmw,4,sedan,rwd,front,103.5,0.908,0.929,0.931,3230,ohc,6,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760,6.808510638297872,9.361702127659575,high,0,1,1,0
14,0,122.0,bmw,2,sedan,rwd,front,103.5,0.931,0.943,0.898,3380,ohc,6,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315,6.808510638297872,9.361702127659575,high,0,1,1,0
15,0,122.0,bmw,4,sedan,rwd,front,110.0,0.947,0.985,0.941,3505,ohc,6,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880,6.382978723404255,8.51063829787234,high,0,1,1,0
16,2,121.0,chevrolet,2,hatchback,fwd,front,88.4,0.678,0.837,0.890,1488,l,3,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,0.886,5151,20.0,22.5531914893617,low,0,1,1,0
17,1,98.0,chevrolet,2,hatchback,fwd,front,94.5,0.749,0.883,0.870,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295,16.170212765957448,18.29787234042553,low,0,1,1,0
18,0,81.0,chevrolet,4,sedan,fwd,front,94.5,0.763,0.883,0.870,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575,16.170212765957448,18.29787234042553,low,0,1,1,0
19,1,118.0,dodge,2,hatchback,fwd,front,93.7,0.756,0.886,0.849,1876,ohc,4,90,2bbl,2.97,3.23,9.41,0.944,5500.0,37,41,5572,15.74468085106383,17.4468085106383,low,0,1,1,0
20,1,118.0,dodge,2,hatchback,fwd,front,93.7,0.756,0.886,0.849,1876,ohc,4,90,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,6377,13.191489361702127,16.170212765957448,low,0,1,1,0
